,county_name,HC01_VC03_Estimate; SEX AND AGE - Total population,HC01_VC23_Estimate; SEX AND AGE - Median age (years),HC03_VC04_Percent; SEX AND AGE - Total population - Male,HC03_VC05_Percent; SEX AND AGE - Total population - Female,HC03_VC11_Percent; SEX AND AGE - 15 to 19 years,HC03_VC88_Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),HC03_VC94_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,HC03_VC95_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,HC03_VC96_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,HC03_VC97_Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,"HC03_VC108_Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population",target,grads, Bachelor's Starting Salary,Master's Starting Salary,HD01_VD01_Estimate; Total:,"HD01_VD02_Estimate; Total: - Less than $10,000","HD01_VD03_Estimate; Total: - $10,000 to $14,999","HD01_VD04_Estimate; Total: - $15,000 to $19,999","HD01_VD05_Estimate; Total: - $20,000 to $24,999","HD01_VD06_Estimate; Total: - $25,000 to $29,999","HD01_VD07_Estimate; Total: - $30,000 to $34,999","HD01_VD08_Estimate; Total: - $35,000 to $39,999","HD01_VD09_Estimate; Total: - $40,000 to $49,999","HD01_VD10_Estimate; Total: - $50,000 to $59,999","HD01_VD11_Estimate; Total: - $60,000 to $69,999","HD01_VD12_Estimate; Total: - $70,000 to $79,999","HD01_VD13_Estimate; Total: - $80,000 to $89,999","HD01_VD14_Estimate; Total: - $90,000 to $99,999","HD01_VD15_Estimate; Total: - $100,000 to $124,999","HD01_VD16_Estimate; Total: - $125,000 to $149,999","HD01_VD17_Estimate; Total: - $150,000 to $174,999","HD01_VD18_Estimate; Total: - $175,000 to $199,999","HD01_VD19_Estimate; Total: - $200,000 to $249,999","HD01_VD20_Estimate; Total: - $250,000 to $299,999","HD01_VD21_Estimate; Total: - $300,000 to $399,999","HD01_VD22_Estimate; Total: - $400,000 to $499,999","HD01_VD23_Estimate; Total: - $500,000 to $749,999","HD01_VD24_Estimate; Total: - $750,000 to $999,999","HD01_VD25_Estimate; Total: - $1,000,000 to $1,499,999","HD01_VD26_Estimate; Total: - $1,500,000 to $1,999,999","HD01_VD27_Estimate; Total: - $2,000,000 or more",Diabetes%,% Single-Parent Households,% Smokers,% Obese,Teen Birth Rate,Income Ratio,Violent Crime Rate
39,Greensville County,11760,42.9,62.1,37.9,3.8,3.8,37.5,57.3,0.2,0.2,9635,79.0,77,39896.0,41996.0,2495,0.07615230460921844,0.012024048096192385,0.019238476953907815,0.006012024048096192,0.01843687374749499,0.0036072144288577155,0.0,0.04889779559118237,0.04649298597194389,0.03927855711422846,0.10300601202404809,0.03006012024048096,0.09859719438877755,0.09539078156312625,0.09739478957915831,0.11783567134268537,0.04008016032064128,0.09979959919839679,0.01002004008016032,0.028056112224448898,0.0036072144288577155,0.0,0.0008016032064128256,0.0,0.0,0.0052104208416833666,12.6,49,19.0,33,86.0,4.3,138
40,Halifax County,35506,45.3,47.6,52.4,6.1,1.9,59.9,36.7,0.1,0.6,27800,76.0,181,38085.0,40271.0,10344,0.046500386697602474,0.03557617942768755,0.005607115235885538,0.013534416086620264,0.010247486465583914,0.01131090487238979,0.006767208043310132,0.03692962103634957,0.04369682907965971,0.05984145398298531,0.06931554524361949,0.07762954369682908,0.0639984532095901,0.10054137664346481,0.09406419180201082,0.09077726218097448,0.0424400618716164,0.06303170920340294,0.04940061871616396,0.047757153905645784,0.013437741686001547,0.01459783449342614,0.0021268368136117557,0.0002900232018561485,0.0,0.000580046403712297,17.3,42,21.0,35,44.0,4.9,139
41,Hanover County,101340,41.9,49.0,51.0,7.5,2.5,84.7,9.2,0.1,1.5,76353,69.79447513812156,905,42462.0,45010.0,30348,0.01173059180176618,0.0026031369447739555,0.0028996968498747858,0.0017793594306049821,0.002339528140239884,0.0009885330170027679,0.0011862396204033216,0.0032292078555423752,0.003130354553842098,0.004283643073678661,0.0021747726374060894,0.0036575721629102413,0.007381046526954,0.012752075919335706,0.02810728878344537,0.07960985896928957,0.10514696190852775,0.20831685778304995,0.17292737577435086,0.20344009489916964,0.07222881244233557,0.04781204692236721,0.010214841175695268,0.007842361934888626,0.00092263081586925,0.003295110056675893,10.5,21,17.0,25,15.0,3.8,89
42,Henrico County,318864,37.9,47.2,52.8,6.2,5.3,55.4,29.2,0.3,7.3,225746,70.6170094496943,1799,42561.0,44604.0,78341,0.011552060862128387,0.003357118239491454,0.004518706679771767,0.0025784710432595957,0.0017104708900830983,0.0006127059904775278,7.658824880969097e-05,0.0004595294928581458,0.0024125298375052653,0.004263412517072797,0.008922530986328997,0.01450070844130149,0.015266590929398399,0.0648319526174034,0.09269731047599597,0.12026908004748471,0.09734366423711723,0.1678814413908426,0.11518872620977522,0.13483361202946095,0.062164128617199166,0.05386706832948265,0.01314764937899695,0.004442118430962076,0.0007914119043668067,0.0023104121724256774,8.5,34,17.0,28,25.0,4.0,161
43,Henry County,52580,46.0,48.1,51.9,5.5,5.2,70.6,22.1,0.0,0.5,40967,64.80701754385964,285,39492.0,41592.0,16711,0.05912273352881336,0.026629166417329903,0.016635748907904972,0.01478068338220334,0.009335168451917899,0.009215486805098438,0.007121057985757884,0.04117048650589432,0.059541619292681466,0.05170247142600682,0.07079169409371074,0.09825863203877686,0.06552570163365448,0.130153790916163,0.08359763030339297,0.09018012087846329,0.043264915325234875,0.05068517742804141,0.027706301238705044,0.019029381844294178,0.014122434324696308,0.005265992460056251,0.001496020585243253,0.004667584225958949,0.0,0.0,17.5,39,26.0,31,52.0,4.1,317
44,King George County,24933,36.6,50.2,49.8,7.7,4.2,74.0,17.5,0.1,1.3,18204,72.0,163,37087.0,39683.0,6120,0.01895424836601307,0.009477124183006535,0.006209150326797385,0.0022875816993464053,0.0029411764705882353,0.0,0.005555555555555556,0.006699346405228758,0.002777777777777778,0.003431372549019608,0.004411764705882353,0.006045751633986928,0.003431372549019608,0.015359477124183006,0.023856209150326796,0.059640522875817,0.052450980392156864,0.17941176470588235,0.14950980392156862,0.24362745098039215,0.09101307189542483,0.08202614379084967,0.024509803921568627,0.004411764705882353,0.00196078431372549,0.0,12.4,24,,29,31.0,3.8,100
45,King William County,16097,40.7,48.8,51.2,5.7,0.8,76.1,19.3,1.1,0.9,12151,71.0,84,42745.0,44865.0,4931,0.006286757250050699,0.0050699655242344354,0.005881160008111945,0.00040559724193875484,0.0,0.0006083958629081322,0.0,0.008111944838775096,0.007097951733928209,0.014398702088825797,0.0024335834516325287,0.012573514500101399,0.012776313121070776,0.06692354491989455,0.06347596836341513,0.14621780571892112,0.1571689312512675,0.17278442506590955,0.11863719326708579,0.10971405394443318,0.03731494625836544,0.03285337659703914,0.010139931048468871,0.00466436828229568,0.0,0.004461569661326303,13.7,29,20.0,32,27.0,3.2,73
46,Lancaster County,11129,55.6,47.1,52.9,4.3,1.6,69.0,28.0,0.0,0.4,9354,82.0,38,36753.0,38853.0,3874,0.02581311306143521,0.002581311306143521,0.015487867836861126,0.0,0.01574599896747548,0.0010325245224574084,0.0038719669592152815,0.0018069179143004647,0.013680949922560661,0.032266391326794014,0.01471347444501807,0.02710376871450697,0.02194114610221993,0.06943727413526071,0.0495611770779556,0.091636551368095,0.05782137325761487,0.09525038719669592,0.08802271553949406,0.09473412493546722,0.05317501290655653,0.10092927207021167,0.07046979865771812,0.027620030975735673,0.0074858027878162104,0.017811048012390293,9.0,57,,30,35.0,5.0,84
47,Lee County,25206,42.8,52.5,47.5,5.1,1.8,93.0,3.7,0.2,0.2,20178,44.42352941176471,85,35250.0,36500.0,6906,0.055748624384593104,0.032725166521865044,0.02331306110628439,0.0280915146249638,0.044309296264118156,0.026353895163625834,0.010280915146249637,0.054155806545033304,0.07153200115841298,0.07573124818997973,0.09223863307269041,0.05314219519258616,0.022733854619171736,0.09412105415580654,0.08094410657399363,0.05227338546191718,0.03142195192586157,0.04112366058499855,0.040544454097885894,0.04706052707790327,0.007529684332464524,0.01187373298580944,0.0,0.0027512308137851143,0.0,0.0,14.7,33,25.0,29,57.0,4.7,131
48,Loudoun County,351129,35.3,49.6,50.4,6.7,13.2,59.3,7.2,0.2,16.1,213498,71.26434231378764,3155,47975.0,53688.0,87461,0.009112633059306433,0.0008003567304284196,0.0007774893952733218,0.0012348360983752758,0.0005030813734121495,0.001920856153028207,0.000537382376144796,0.0010175964144018476,0.0018179531448302671,0.0006174180491876379,0.0013491727741507644,0.002298167183087319,0.0017722184745200718,0.007431883925406752,0.009867255119424658,0.015915665267948,0.016087170281611232,0.04735825110620734,0.07146042235968031,0.2158219091938121,0.17646722539188894,0.3090977692914556,0.07907524496632785,0.020340494620459403,0.0026983455483015287,0.0046192017013297355,6.6,15,10.0,22,12.0,3.2,88
49,Louisa County,33986,43.7,49.3,50.7,5.7,2.5,77.0,16.7,0.4,0.5,26224,66.0,159,42424.0,44173.0,10204,0.023324186593492748,0.01479811838494708,0.0055860446883575065,0.00382203057624461,0.003234025872206978,0.0015680125441003528,0.0,0.022148177185417485,0.014112112896903175,0.014406115248921991,0.012936103488827911,0.012152097216777734,0.026166209329674638,0.07497059976479811,0.08790670325362603,0.0964327714621717,0.11573892591140729,0.12014896119168954,0.10740885927087417,0.10613484907879263,0.03596628773030184,0.04498235985887887,0.03008624068992552,0.010780086240689926,0.0028420227361818894,0.012348098784790278,11.5,32,28.0,34,36.0,4.2,117
